| Input filename | # Edges | # Graphs | # OK | # NONEMBEDDABLE |Error flag| Duration | # Invalid OK | EDA Proc Time | EDA Total Time |
|================|=========|==========|======|=================|==========|==========|==============|===============|================|
|n8.m0.g6        |0        |1         |1     |0                |SUCCESS   |0.0       |0             |0.003          |0.013           |
|n8.m1.g6        |1        |1         |1     |0                |SUCCESS   |0.0       |0             |0.003          |0.013           |
|n8.m2.g6        |2        |2         |2     |0                |SUCCESS   |0.0       |0             |0.005          |0.026           |
|n8.m3.g6        |3        |5         |5     |0                |SUCCESS   |0.0       |0             |0.017          |0.074           |
|n8.m4.g6        |4        |11        |11    |0                |SUCCESS   |0.0       |0             |0.031          |0.138           |
|n8.m5.g6        |5        |24        |24    |0                |SUCCESS   |0.0       |0             |0.070          |0.335           |
|n8.m6.g6        |6        |56        |56    |0                |SUCCESS   |0.0       |0             |0.164          |0.727           |
|n8.m7.g6        |7        |115       |115   |0                |SUCCESS   |0.0       |0             |0.340          |1.516           |
|n8.m8.g6        |8        |221       |221   |0                |SUCCESS   |0.0       |0             |0.620          |2.795           |
|n8.m9.g6        |9        |402       |401   |1                |SUCCESS   |0.001     |0             |1.137          |5.090           |
|n8.m10.g6       |10       |663       |659   |4                |SUCCESS   |0.001     |0             |1.921          |8.456           |
|n8.m11.g6       |11       |980       |959   |21               |SUCCESS   |0.002     |0             |2.935          |12.690          |
|n8.m12.g6       |12       |1312      |1230  |82               |SUCCESS   |0.002     |0             |4.214          |17.617          |
|n8.m13.g6       |13       |1557      |1311  |246              |SUCCESS   |0.003     |1             |5.630          |22.794          |
|n8.m14.g6       |14       |1646      |1115  |531              |SUCCESS   |0.004     |6             |6.289          |25.399          |
|n8.m15.g6       |15       |1557      |722   |835              |SUCCESS   |0.004     |33            |6.321          |25.701          |
|n8.m16.g6       |16       |1312      |350   |962              |SUCCESS   |0.004     |43            |5.316          |21.465          |
|n8.m17.g6       |17       |980       |113   |867              |SUCCESS   |0.003     |31            |3.577          |14.458          |
|n8.m18.g6       |18       |663       |28    |635              |SUCCESS   |0.002     |11            |1.968          |7.966           |
|n8.m19.g6       |19       |402       |3     |399              |SUCCESS   |0.001     |2             |1.001          |4.073           |
|n8.m20.g6       |20       |221       |0     |221              |SUCCESS   |0.001     |0             |0.486          |1.998           |
|n8.m21.g6       |21       |115       |0     |115              |SUCCESS   |0.0       |0             |0.250          |1.017           |
|n8.m22.g6       |22       |56        |0     |56               |SUCCESS   |0.0       |0             |0.126          |0.506           |
|n8.m23.g6       |23       |24        |0     |24               |SUCCESS   |0.0       |0             |0.053          |0.214           |
|n8.m24.g6       |24       |11        |0     |11               |SUCCESS   |0.0       |0             |0.022          |0.093           |
|n8.m25.g6       |25       |5         |0     |5                |SUCCESS   |0.0       |0             |0.013          |0.046           |
|n8.m26.g6       |26       |2         |0     |2                |SUCCESS   |0.0       |0             |0.005          |0.020           |
|n8.m27.g6       |27       |1         |0     |1                |SUCCESS   |0.0       |0             |0.003          |0.011           |
|n8.m28.g6       |28       |1         |0     |1                |SUCCESS   |0.0       |0             |0.002          |0.011           |
|================|=========|==========|======|=================|==========|==========|==============|===============|================|
|TOTALS                    |12346     |7327  |5019             |29        |0.028     |127           |42.521         |175.260         |
